epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7522,1.04262,2.0801,1.26585,0.99797,0.08344,0.12312,0.08456,0.76753,1.2447,0.9954,0.00331361,0.00331361,0.0701775
2,158.792,0.90924,1.07539,1.11148,0.68133,0.15649,0.15805,0.10185,0.78273,1.16742,1.01639,0.00651533,0.00651533,0.0400459
3,234.738,0.94609,1.00806,1.11944,0.63624,0.19416,0.27113,0.1647,0.83734,1.20927,1.01611,0.00958506,0.00958506,0.0097823
4,312.492,0.94705,0.97982,1.12334,0.92751,0.225,0.2855,0.17796,0.79774,1.09092,1.00497,0.009406,0.009406,0.009406
5,391.753,0.9296,0.93503,1.11213,0.66955,0.3094,0.39204,0.23671,0.78301,0.92242,0.99516,0.009208,0.009208,0.009208
6,469.048,0.89295,0.8803,1.1033,0.74451,0.24264,0.43378,0.23936,0.77024,0.90117,0.97142,0.00901,0.00901,0.00901
7,546.173,0.86676,0.8314,1.08589,0.59962,0.42899,0.41355,0.27185,0.71391,0.73716,0.95141,0.008812,0.008812,0.008812
8,620.713,0.85164,0.78416,1.07536,0.43964,0.29983,0.45784,0.29101,0.6992,0.72979,0.96373,0.008614,0.008614,0.008614
9,698.178,0.83296,0.76107,1.06706,0.76423,0.39101,0.52149,0.31961,0.65194,0.66687,0.93695,0.008416,0.008416,0.008416
10,98859.2,0.80413,0.71859,1.0578,0.7433,0.57235,0.53714,0.31664,0.66215,0.61508,0.92088,0.008218,0.008218,0.008218
11,98950.2,0.79123,0.68833,1.05376,0.6277,0.59734,0.49464,0.30634,0.63968,0.59291,0.92909,0.00802,0.00802,0.00802
12,99040.8,0.78603,0.66592,1.04851,0.4878,0.56143,0.51472,0.30023,0.66513,0.57847,0.93724,0.007822,0.007822,0.007822
13,99134.2,0.79878,0.67237,1.05653,0.43482,0.61465,0.48685,0.28507,0.64379,0.56488,0.92998,0.007624,0.007624,0.007624
14,99234.6,0.77041,0.6371,1.03773,0.64805,0.46671,0.52714,0.31436,0.65336,0.53772,0.9391,0.007426,0.007426,0.007426
15,99328,0.74045,0.61378,1.02382,0.60104,0.46363,0.42109,0.25298,0.61888,0.59102,0.92363,0.007228,0.007228,0.007228
16,99419.9,0.74385,0.59862,1.03275,0.55894,0.64114,0.59989,0.37543,0.60644,0.48362,0.91603,0.00703,0.00703,0.00703
17,99513.2,0.72428,0.58579,1.02714,0.47748,0.71461,0.61328,0.35257,0.64187,0.47877,0.92222,0.006832,0.006832,0.006832
18,99602.9,0.72859,0.59072,1.02705,0.69127,0.60069,0.65178,0.43904,0.60451,0.46321,0.89882,0.006634,0.006634,0.006634
