epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52223,2.35581,4.71021,1.87304,0.00057,0.02414,0.00088,0.00013,1.962,4.66047,1.51991,0.0032,0.0032,0.0712
2,10.7277,1.91949,4.4132,1.43763,0.00263,0.27207,0.0058,0.0021,1.76221,4.5628,1.39295,0.0063713,0.0063713,0.0413713
3,15.5793,1.68933,3.90396,1.23703,0.00396,0.31385,0.08803,0.05279,1.62593,4.12846,1.29138,0.00941192,0.00941192,0.0114119
4,20.3306,1.79144,2.89838,1.30498,0.61597,0.14518,0.15579,0.06995,1.91971,3.03301,1.7515,0.009406,0.009406,0.009406
5,25.1183,1.6814,2.34522,1.29596,0.61858,0.17284,0.16461,0.0933,1.62029,2.55081,1.32977,0.009208,0.009208,0.009208
6,29.9646,1.57207,2.01665,1.17978,0.57314,0.11038,0.16497,0.0903,1.71062,3.1313,1.29833,0.00901,0.00901,0.00901
7,34.748,1.62929,1.95637,1.19081,0.54412,0.24546,0.24244,0.13672,1.56005,3.3105,1.19896,0.008812,0.008812,0.008812
8,39.5979,1.5176,1.81888,1.11627,0.50583,0.37547,0.28712,0.15238,1.51344,4.40103,1.1769,0.008614,0.008614,0.008614
9,44.5154,1.43366,1.6954,1.09171,0.44833,0.46028,0.34112,0.19064,1.50946,2.71174,1.15733,0.008416,0.008416,0.008416
10,49.5367,1.41359,1.74123,1.13101,0.44417,0.41084,0.38852,0.23215,1.31788,2.09238,1.07629,0.008218,0.008218,0.008218
11,54.7034,1.36094,1.60325,1.10008,0.31943,0.64242,0.38251,0.20653,1.55924,1.7624,1.20209,0.00802,0.00802,0.00802
12,59.5321,1.43582,1.51574,1.08211,0.37208,0.59178,0.38602,0.20895,1.49834,1.81223,1.15836,0.007822,0.007822,0.007822
13,64.4606,1.41875,1.55637,1.08804,0.37754,0.5591,0.43025,0.24387,1.40733,1.76918,1.11445,0.007624,0.007624,0.007624
14,69.5694,1.37716,1.43631,1.0864,0.38647,0.60148,0.4525,0.26021,1.42975,1.62897,1.11575,0.007426,0.007426,0.007426
15,74.4284,1.37727,1.46261,1.06841,0.49392,0.50027,0.50559,0.29075,1.28182,1.56732,1.07273,0.007228,0.007228,0.007228
16,79.1743,1.31339,1.44972,1.05374,0.38985,0.65127,0.50069,0.31282,1.23273,1.42398,1.04476,0.00703,0.00703,0.00703
17,84.0139,1.32226,1.42513,1.06226,0.39843,0.57832,0.50943,0.29101,1.30776,1.54613,1.07374,0.006832,0.006832,0.006832
